name,description,link,created_time,available_albums,tags,albums,available_album_name,available_album_description,album_name,album_description,uri,url_source
Main_Story_Back_wall_With_Lilly,,https://vimeo.com/888707007,2023-11-27T14:14:04+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/888707007,https://player.vimeo.com/progressive_redirect/download/888707007/container/6c0066a7-f800-40e0-b9b4-cbfffe29bc8d/22ee2058/main_story_back_wall_with_lilly%20%28Original%29.mp4?expires=1703110396&loc=external&oauth2_token_id=1753668412&signature=bb15694a2f302c9f18bc6bbc00456adee073828e6ca7bebfbb050d5a5f28abd6,1blvNH_5OqY4M9mFk6qzlvP1ADNw71pyv
11h Alicante walkthrough 20231127 Spanish VO,,https://vimeo.com/888658409,2023-11-27T11:37:40+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/888658409,https://player.vimeo.com/progressive_redirect/download/888658409/container/1adfd162-8175-4e68-877c-a5e4a9ef5930/861a1cd2/11h_alicante_walkthrough_20231127_spanish_vo%20%28Original%29.mp4?expires=1703113328&loc=external&oauth2_token_id=1753668412&signature=01295d574dd0e6df3f3fbc25a70465dd56027c057c2228bb697eee008caac34e,https://drive.google.com/file/d/1xmgK-pChoios6S1s-jDS823egw5eZlgy/view?usp=drive_link
11h Alicante walkthrough 20231127,,https://vimeo.com/tellart/11halicante,2023-11-27T11:06:20+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/888648900,https://player.vimeo.com/progressive_redirect/download/888648900/container/92a34ef6-bdae-484a-b3f0-4a123f6965e3/755fd141/11h_alicante_walkthrough_20231127%20%28Original%29.mp4?expires=1703114042&loc=external&oauth2_token_id=1753668412&signature=97a173ce398906dd5535ea1ba666b8958db89fd22ba6e0ab91f561ed1ef0a29a,https://drive.google.com/file/d/1x4kRj6DGuvEocW6kOTu5WpK3FEZAEYaJ/view?usp=drive_link
DP Pavilion visitor flow realtime,,https://vimeo.com/tellart/visitorflowrealtime,2023-10-12T12:42:49+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/873699176,https://player.vimeo.com/progressive_redirect/download/873699176/container/f1414a4f-be31-4795-a04f-990380b3e39c/ae45f21a/dp_pavilion_visitor_flow_realtime%20%28Original%29.mp4?expires=1703115395&loc=external&oauth2_token_id=1753668412&signature=0e42c38be5a673c802200147c967928423191656b1ef2dfe9af1c740e49c4796,https://drive.google.com/file/d/1WJXP7pKmk9f3QL3cLG2_VVRQU5eSMfIu/view?usp=drive_link
DP Visitor Flow,,https://vimeo.com/tellart/visitorflow,2023-10-12T12:42:44+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/873699155,https://player.vimeo.com/progressive_redirect/download/873699155/container/87224a73-080f-4517-b73b-aa57245721d0/798d13be/dp_visitor_flow%20%28Original%29.mp4?expires=1703115492&loc=external&oauth2_token_id=1753668412&signature=18dcc44964499926bf92b02dc7f6246dc53383ffb2675fd99308c237cf01e01b,https://drive.google.com/file/d/1BnTngpqW39ZjaVTR4WCrK7k5XQofsPCt/view?usp=drive_link
Dutch Pavilion - Visitor Flow,,https://vimeo.com/849410230,2023-07-28T09:33:26+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/849410230,https://player.vimeo.com/progressive_redirect/download/849410230/container/8094b59d-b02d-4830-9068-e615a94b10bf/eaa5f83e/dutch_pavilion_-_visitor_flow%20%28Original%29.mp4?expires=1703115507&loc=external&oauth2_token_id=1753668412&signature=11fd78b3458354ed0cf6dfa9bb2d7c5fa2be8e99888f857df78c6bbc426feb2a,https://drive.google.com/file/d/1o8grVcmXz_ZKqmAFYTTY0RntP7khSiUC/view?usp=drive_link
Dutch Pavilion - Visitor Flow Timelapse,,https://vimeo.com/849410191,2023-07-28T09:33:12+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/849410191,https://player.vimeo.com/progressive_redirect/download/849410191/container/6634c1de-1e07-432b-8b8a-f70a1808a4c9/02e2615f/dutch_pavilion_-_visitor_flow_timelapse%20%28Original%29.mp4?expires=1703115607&loc=external&oauth2_token_id=1753668412&signature=11a976c4f5ef34f30a385606f0d911e584b7e7ab07849590474e106c5e653363,https://drive.google.com/file/d/1e_tPB_QEhAQR14mRW9xye5HjuPdhUnRL/view?usp=drive_link
One Blue Voice at The Ocean Race village,"Tellart is at the start of The Ocean Race in Alicante, Spain, where we’ve created the Race Village immersive experience, that will travel to key ports with the teams.

One Blue Voice, presented by 11th Hour Racing in collaboration with Tellart and The Ocean Race, transports guests onboard an IMOCA60 racing offshore and takes them below the surface to learn how we are inseparable from the ocean.

From blank page to a concept and script, hand painted and animated 3d worlds, musical and narration score composition, performance of all instruments, recordings and production of the spatial audio experience.

A game world that does what Tellart always does:
Use design craft and emerging tech to give people new and transformative ways to engage with, understand, enjoy and protect nature.",https://vimeo.com/790350949,2023-01-18T09:17:20+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/790350949,https://player.vimeo.com/progressive_redirect/download/790350949/container/05983cf8-fd26-48a7-84b6-1e9f0f33c9ce/678e0d7b/one_blue_voice_at_the_ocean_race_village%20%28Original%29.mp4?expires=1703115624&loc=external&oauth2_token_id=1753668412&signature=2bf15ddf0223621692b98c774d26dc8302a1ee43302ddc0ed84a00ce3229b7a6,https://drive.google.com/file/d/1nOzzDTOxqCks_rd1D1fJB75AbwXMLpaB/view?usp=drive_link
ES - REVIEW ANIMATIC: THE RACE BELOW,,https://vimeo.com/781499612,2022-12-15T14:47:58+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/781499612,https://player.vimeo.com/progressive_redirect/download/781499612/container/b647beb9-a5e4-45ce-a61c-4900c5e6e9d5/01c4d9da/es_-_review_animatic:_the_race_below%20%28Original%29.mp4?expires=1703115662&loc=external&oauth2_token_id=1753668412&signature=c989e32dea2515ce662cc5d458ab05af195b6a561dfdee3a131488acd68a6c97,https://drive.google.com/file/d/1PIp7x9fDDyrwJ3Ey1qQANhXGw8oL5LMy/view?usp=drive_link
UAE_EXPO2020_Oasis_Chapter_16X9,,https://vimeo.com/771631479,2022-11-16T15:57:16+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/771631479,https://player.vimeo.com/progressive_redirect/download/771631479/container/39a4570a-5863-4b45-b7a3-17e7399e242d/849bc267/uae_expo2020_oasis_chapter_16x9%20%28Original%29.mp4?expires=1703115865&loc=external&oauth2_token_id=1753668412&signature=2b83121d2b1caa20ccb967e9e420b810a21796757e3f0d24e59d1faafa39b5b8,https://drive.google.com/file/d/163Cxd76eJOI2sHolHTqr6HfpYgL3gUj9/view?usp=drive_link
_UAE_EXPO2020_VisionUnity_Chapter_16X9,,https://vimeo.com/771631281,2022-11-16T15:56:47+00:00,8,,0,"['Obsedian', 'Tellart.com Web Content', 'Samples', 'Tellart Video Samples', 'Project Boundary', 'Physics Classes', 'Tellart Capabilities', 'Concepts for the MOO Booth']","[None, None, None, None, None, 'Two teachers came to Tellart to give us two wonderful classes to refresh our basic knowledge about physics.', ""Videos showing Tellart's capabilities through client projects, workshops/courses, and R&D initiatives."", '©Tellart LLC, 2009']",[],[],/videos/771631281,https://player.vimeo.com/progressive_redirect/download/771631281/container/298d251c-e71a-45d2-8b3d-56a09aa358ee/8725d8a1/_uae_expo2020_visionunity_chapter_16x9%20%28Original%29.mp4?expires=1703115898&loc=external&oauth2_token_id=1753668412&signature=f2a39b56a4fb7cdd89ee18742324c0d799e761ac28fe6c5980264ec459b8073f,https://drive.google.com/file/d/1zymyR3IGncY_sY3Er9Jpy_HicZUjxBKt/view?usp=drive_link
